ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
002039.SZ,20210908,黔源电力,水力发电,中小板,18.10,19.42,19.42,18.10,17.65,1.77,10.03,6.40,2.00,13.37,1.86,371085.43,20050303
605162.SH,20210908,新中港,供气供热,主板,11.55,12.73,12.73,11.54,11.57,1.16,10.03,19.37,1.46,32.40,4.70,192098.88,20210707
000681.SZ,20210908,视觉中国,互联网,主板,16.88,17.34,17.34,16.19,15.76,1.58,10.03,19.59,2.91,85.83,3.74,1998009.01,19970121
002125.SZ,20210908,湘潭电化,化工原料,中小板,13.30,14.05,14.05,13.30,12.77,1.28,10.02,21.78,2.72,349.59,4.89,1794047.86,20070403
600021.SH,20210908,上海电力,火力发电,主板,9.75,9.77,9.77,9.42,8.88,0.89,10.02,2.07,0.89,28.76,1.52,526664.45,20031029
603612.SH,20210908,索通发展,矿物制品,主板,26.91,29.32,29.32,25.78,26.65,2.67,10.02,7.50,1.03,62.90,3.23,885897.56,20170718
601985.SH,20210908,中国核电,新型电力,主板,5.90,6.48,6.48,5.90,5.89,0.59,10.02,1.91,1.65,18.87,1.81,2061632.97,20150610
002751.SZ,20210908,易尚展示,家居用品,中小板,19.02,20.87,20.87,19.02,18.97,1.90,10.02,4.79,1.17,60.73,2.18,123435.77,20150424
000852.SZ,20210908,石化机械,化工机械,主板,7.00,7.03,7.03,6.81,6.39,0.64,10.02,6.98,4.88,767.63,2.98,379174.30,19981126
600793.SH,20210908,宜宾纸业,造纸,主板,13.08,14.39,14.39,13.00,13.08,1.31,10.02,8.57,2.37,0.00,4.09,209114.03,19970220
603050.SH,20210908,科林电气,电气设备,主板,15.91,17.47,17.47,15.82,15.88,1.59,10.01,11.01,2.35,25.69,2.24,304703.72,20170414
000807.SZ,20210908,云铝股份,铝,主板,17.15,18.90,18.90,16.85,17.18,1.72,10.01,3.09,0.87,65.51,4.27,1574428.54,19980408
600230.SH,20210908,沧州大化,农药化肥,主板,18.37,20.22,20.22,18.16,18.38,1.84,10.01,8.14,0.99,229.15,2.26,656803.50,20000406
603505.SH,20210908,金石资源,矿物制品,主板,46.95,51.65,51.65,46.51,46.95,4.70,10.01,4.15,0.87,67.64,14.17,641677.06,20170503
001215.SZ,20210908,千味央厨,食品,主板,27.37,27.37,27.37,27.37,24.88,2.49,10.01,0.15,0.38,30.41,2.59,845.02,20210906
